username,waktu,konten
Humas Polda Jawa Timur,23-05-2025 09:43,"Humas Polda Jawa Timur Humas Polda Jawa Timur @bidhumas_jatim · Polri  melalui Polda Jawa Barat (Jabar) berhasil membongkar aktivitas judi online di wilayah BSD City dan Cipondoh, Kota Tangerang. Dari hasil pengungkapan, dua orang tersangka berinisal A dan JH berhasil diamankan.  Polri  Terus Berkomitmen  #ProfesionalTegakkanHukum 11 11 11 23 23 23 30 30 30 350 350 350"
Elang Gold(2),23-05-2025 15:07,"Elang Gold(2) Elang Gold(2) @Pecel_Lele5678 · @DedynurPalakka Bisa-bisanya  Polri  Ketok Magic.
rahang gigi bawah sudah rapi malah di berantakin. 4 4 4 4 4 4 465 465 465"
P W S||,23-05-2025 10:46,"P W S|| P W S|| @King_PWS_ · “Sebelumnya, Bareskrim  Polri  menyatakan, ijazah milik Presiden ke-7 RI Joko Widodo (Jokowi) identik dan otentik setelah dibandingkan dengan ijazah milik tiga rekan seangkatannya di Universitas Gadjah Mada (UGM).”

>Identik vs Otentik vs Asli ??? https:// 3/09560561/roy-suryo-respons-bareskrim-usai-sebut-ijazah-jokowi-otentik-yang-asli-tidak … GIF 3 3 3 6 6 6 10 10 10 572 572 572"
COBRA 3131,23-05-2025 11:33,"COBRA 3131 COBRA 3131 @C0BRA3131 · @TrioKwekKwek555 and and @OposisiCerdas POLRI  era Jokowi &  @Prabowo  akan dikenang sebagai institusi terbusuk menindas, menipu rakyat yg seharusnya mereka layani sepenuh hati, tapi masih banyak anggota  Polri  jujur hidup bersama rakyat dgn hidup marginal, smg  @Prabowo  bs segera benahi  Polri . #DukungPrabowoGantiGibran 1 1 1 5 5 5 5 5 5 60 60 60"
SARAH TRESNOWATI,23-05-2025 07:36,"SARAH TRESNOWATI SARAH TRESNOWATI @STresnowati1 · Hasil lidik bareskrim  polri  bukan membikin masarakat mjd tenang , malah sebaliknya makin membuat gaduh . 
Semoga pak  @prabowo  sadar yg paling dirugikan adalah kabinet bpk.  Investor ga mau masuk .
Pribadi bpk, Bpk akan dianggap pemimpin yg tdk kapabel.  Jika jokowi lewat orang2 Show more 17 17 17 35 35 35 80 80 80 781 781 781"
Mr.Rudi,23-05-2025 14:25,"Mr.Rudi Mr.Rudi @MarjanSapr17110 · @DedynurPalakka Sy hargai hasil labfor  polri Tapi ini yg masih mengganjal di mata... struktur giginya kenapa bisa berubah...apakah beliau pernah ketabrak kereta kencana..? sehingga giginya menjadi tidak rapih lagi..?ini juga mesti dijelaskan sm mabes  polri ,kenapa struktur giginya bisa gak sama 1 1 1 8 8 8 475 475 475"
HUMAS KORPS BRIMOB POLRI,23-05-2025 16:50,HUMAS KORPS BRIMOB POLRI HUMAS KORPS BRIMOB POLRI @humaskorbrimob · Penutupan Brimob Challenge 2025 4 4 4
Polres Bandara Ngr Rai,23-05-2025 09:51,"Polres Bandara Ngr Rai Polres Bandara Ngr Rai @Polres_Ngr_Rai · Anggota Komisi III DPR RI Fraksi Gerindra, Martin Daniel Tumbelaka mengapresiasi langkah cepat  Polri  atas penangkapan admin dan anggota grup Facebook 'Fantasi Sedarah' atau 'Suka Duka'. 1 1 1 16 16 16"
Polda Banten,23-05-2025 09:54,"Polda Banten Polda Banten @_poldabanten · Polda Papua Barat (Papbar) melalui Polres Kaimana berhasil mengungkap praktik penambangan emas tanpa izin di wilayah Distrik Teluk Etna, Kaimana, Papua Barat. Komitmen  Polri #ProfesionalTegakkanHukum  Serta Tuntas Ungkap Kejahatan 1 1 1 10 10 10 36 36 36"
Artanabil,23-05-2025 09:01,"Artanabil Artanabil @ArtaN7707 · Gagal 3 periode, Jokowi pasang strategi 3 kaki:
1. menyusup di kabinet Prabowo 
2. mengkondisikan  polri  loyal kepada dirinya, bukan ke Prabowo 
3. melindungi wapres gibran

16/5/2025:  https:// atkan-prabowo-amien-rais-sebut-partai-cokelat-dipakai-jokowi-untuk-jadikan-gibran-presiden/?s=09 … #DukungPrabowoGantiGibran #DukungPrabowoGantiGibran 2 2 2 5 5 5 5 5 5 49 49 49"
Humas Polda Jawa Timur,23-05-2025 09:51,"Humas Polda Jawa Timur Humas Polda Jawa Timur @bidhumas_jatim · Polda Jawa Tengah telah menangkap empat anggota ormas GRIB Jaya atas dugaan perusakan aset PT Kereta Api Indonesia di Kota Semarang, tepatnya kawasan Gergaji Kelurahan Mugassari Kecamatan Semarang Selatan.  Polri  Terus Berkomitmen  #ProfesionalTegakkanHukum 11 11 11 21 21 21 25 25 25 217 217 217"
