username,waktu,konten,tweet_length
Polda Banten,2025-05-23 09:54:00,"Polda Banten Polda Banten @_poldabanten · Polda Papua Barat (Papbar) melalui Polres Kaimana berhasil mengungkap praktik penambangan emas tanpa izin di wilayah Distrik Teluk Etna, Kaimana, Papua Barat. Komitmen Polri #ProfesionalTegakkanHukum Serta Tuntas Ungkap Kejahatan 10 10 36",280
Kimmy,2025-05-23 09:54:00,Polri terus berupaya untuk sapu bersih pemberantasan Judol di seluruh Indonesia #ProfesionalTegakkanHukum Tuntas Ungkap Kejahatan 2 13,134
Humas Polda Jawa Timur,2025-05-23 09:51:00,"Humas Polda Jawa Timur Humas Polda Jawa Timur @bidhumas_jatim · Polda Jawa Tengah telah menangkap empat anggota ormas GRIB Jaya atas dugaan perusakan aset PT Kereta Api Indonesia di Kota Semarang, tepatnya kawasan Gergaji Kelurahan Mugassari Kecamatan Semarang Selatan. Polri Terus Berkomitmen #ProfesionalTegakkanHukum 11 21 25 217",332
Polres Bandara Ngr Rai,2025-05-23 09:51:00,"Polres Bandara Ngr Rai Polres Bandara Ngr Rai @Polres_Ngr_Rai · Anggota Komisi III DPR RI Fraksi Gerindra, Martin Daniel Tumbelaka mengapresiasi langkah cepat Polri atas penangkapan admin dan anggota grup Facebook 'Fantasi Sedarah' atau 'Suka Duka'. 16 16",255
Gafrank,2025-05-23 09:50:00,"polri selalu menjalankan tugas dengan #ProfesionalTegakkanHukum pastinya , selalu mengayomi masyarakat dan sebisa mungkin mmberantas premanisme yang ada , yuk bisa Tuntas Ungkap Kejahatan 10 16 13 1K 1K 1K",205
Polres Bojonegoro,2025-05-23 09:45:00,Polres Bojonegoro Polres Bojonegoro @PIDM_Bojonegoro · Donor Darah Sambut Hari Bhayangkara ke-79 @gegana_id #PolriUntukMasyarakat #PresisiUntukIndonesia #HumanisTegakkanHukum #PolresBojonegoro #poldajatim 18 35 64,213
Humas Polda Jawa Timur,2025-05-23 09:43:00,"Humas Polda Jawa Timur Humas Polda Jawa Timur @bidhumas_jatim · Polri melalui Polda Jawa Barat (Jabar) berhasil membongkar aktivitas judi online di wilayah BSD City dan Cipondoh, Kota Tangerang. Dari hasil pengungkapan, dua orang tersangka berinisal A dan JH berhasil diamankan. Polri Terus Berkomitmen #ProfesionalTegakkanHukum 11 23 30 350",341
Polres Bojonegoro,2025-05-23 09:42:00,"Polres Bojonegoro Polres Bojonegoro @PIDM_Bojonegoro · Pembinaan Rohani dan Mental, Tingkatkan Iman dan Taqwa Personel @gegana_id #PolriUntukMasyarakat #PresisiUntukIndonesia #HumanisTegakkanHukum #PolresBojonegoro #poldajatim 19 38 73",235
Humas Polda Jawa Timur,2025-05-23 09:41:00,"Humas Polda Jawa Timur Humas Polda Jawa Timur @bidhumas_jatim · Anggota Komisi III DPR RI Fraksi Gerindra, Martin Daniel Tumbelaka mengapresiasi langkah cepat Polri atas penangkapan admin dan anggota grup Facebook 'Fantasi Sedarah' atau 'Suka Duka'. Berkomitmen #ProfesionalTegakkanHukum Serta Tuntas Ungkap Kejahatan 11 27 36 892",330
Humas Polda Jawa Timur,2025-05-23 09:40:00,"Humas Polda Jawa Timur Humas Polda Jawa Timur @bidhumas_jatim · Wakil Ketua Komisi III DPR RI, Dr. H. Ahmad Sahroni, S.E., M.I.Kom., mengapresiasi Polri yang dinilai bergerak cepat alias gercep dalam menangani konten menyimpang hubungan sedarah atau inses dan pornografi. #ProfesionalTegakkanHukum 13 26 36 730",310
